,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
514,24471,0,0,1402,0,23,3967,9,1926,740,64,10,1,8,2,20,305177,29972,300,60,1432,19389,164528,262,23918,0,0,84347,32,272,59,3737,246,1500,321438,31141,31207.0
515,62129,0,0,3962,0,20,4015,1,860,560,150,3,2,4,5,1,416533,45935,296,54,2520,37799,473365,2415,89337,0,3000,84346,24,48,27,3555,0,10800,363368,44998,46337.0
516,1254,12226,0,4750,0,8,2248,0,663,651,66,4,1,5,2,3,284946,36060,300,8,438,16902,164528,516,22568,0,1664,84346,0,0,28,1224,34,0,225277,34496,34225.0
517,67508,0,0,1505,1090,26,2473,4032,16190,911,70,2,2,12,0,9,438102,48800,306,54,9948,51849,183663,13666,78684,4415,2496,1151999,3,24,29,10631,3090,9330,351450,36994,45000.0
518,214637,2416,6157,3391,0,79,6211,0,30093,2613,409,18,4,22,2,0,771200,121700,299,74,9828,35945,183663,1698,64698,18,0,152542,3,44,36,7258,6047,4400,710984,110800,122547.0
519,74589,0,639,2463,3455,31,11758,16814,2216,2360,252,25,5,87,5,4,553843,54040,305,74,6216,52388,183663,8832,27072,4397,520,1151999,57,360,34,3850,3113,1977,533217,45000,49950.0
520,106678,0,2714,1947,1875,30,3165,7972,13189,1624,229,14,1,27,1,6,1872987,64600,307,74,6891,55505,183663,14741,45689,4788,2080,1151999,2,110,44,5143,2680,2300,1346285,45992,60000.0
521,64606,2343,367,1867,1344,30,3195,4748,7927,1301,241,10,1,15,0,0,457538,63500,306,62,10909,71242,183663,3959,61127,5559,4400,1151999,0,0,44,4566,2643,2635,413957,48298,59988.0
522,104052,0,1074,4240,2624,46,3259,7611,20882,3416,325,10,1,8,6,0,630964,75240,307,66,16183,113625,183663,6195,104900,7596,624,1151999,3,30,41,7890,3069,8000,633464,50000,69999.0
523,34853,2980,2,0,210439,97,17677,263,11334,6668,1104,46,4,14,14,0,1117754,185038,95,74,5762,70093,1077508,22057,87351,2773,0,136022,0,0,22,4216,1106,28514,1200200,365687,177123.0
524,67488,0,0,3946,69872,36,4820,3802,288,675,76,4,2,15,10,461,404990,25900,283,66,17600,47617,285990,4571,98144,21489,8520,0,2,20,26,3136,212,23768,299397,58405,48918.0
525,157226,9347,0,5705,11360,103,16011,10103,757,2765,149,12,2,22,15,45,2462495,226167,280,52,54655,180093,304819,5462,185004,35454,108056,772854,3,35,81,12450,2972,92993,1928439,317092,241585.0
526,51916,2059,0,169,0,39,2500,10001,474,683,65,8,2,2,4,0,324071,69615,205,52,5783,19928,304819,3271,34938,8888,0,0,0,0,20,706,34,0,247658,32294,62836.0
527,111759,299,47,1301,0,126,4438,0,5622,875,162,7,4,8,1,1,666445,49800,294,72,11954,16900,176645,1310,30590,3099,4,67859,0,0,28,1034,51,0,505641,42000,43200.0
528,278090,17364,1863,5889,11848,102,21938,1,10357,2612,482,28,3,50,0,0,4244999,534800,243,72,67512,316008,176645,2674,151372,12432,32000,67859,0,0,210,2645,378,27400,4468885,223600,534800.0
